,forecast_date,target,location,type,type_id,value
0,2022-11-21,2 wk flu hosp rate change,US,category,large_decrease,0.0
1,2022-11-21,2 wk flu hosp rate change,US,category,decrease,0.0
2,2022-11-21,2 wk flu hosp rate change,US,category,stable,0.6482848812308581
3,2022-11-21,2 wk flu hosp rate change,US,category,increase,0.3131752132267738
4,2022-11-21,2 wk flu hosp rate change,US,category,large_increase,0.03853990554236808
5,2022-11-21,2 wk flu hosp rate change,01,category,large_decrease,0.589978624006249
6,2022-11-21,2 wk flu hosp rate change,01,category,decrease,0.3142395446826294
7,2022-11-21,2 wk flu hosp rate change,01,category,stable,0.09578183131112161
8,2022-11-21,2 wk flu hosp rate change,01,category,increase,0.0
9,2022-11-21,2 wk flu hosp rate change,01,category,large_increase,0.0
10,2022-11-21,2 wk flu hosp rate change,02,category,large_decrease,0.0
11,2022-11-21,2 wk flu hosp rate change,02,category,decrease,0.0
12,2022-11-21,2 wk flu hosp rate change,02,category,stable,1.0
13,2022-11-21,2 wk flu hosp rate change,02,category,increase,0.0
14,2022-11-21,2 wk flu hosp rate change,02,category,large_increase,0.0
15,2022-11-21,2 wk flu hosp rate change,04,category,large_decrease,0.014628889208372433
16,2022-11-21,2 wk flu hosp rate change,04,category,decrease,0.0781997530605954
17,2022-11-21,2 wk flu hosp rate change,04,category,stable,0.4148135129192029
18,2022-11-21,2 wk flu hosp rate change,04,category,increase,0.2081735990439706
19,2022-11-21,2 wk flu hosp rate change,04,category,large_increase,0.2841842457678587
20,2022-11-21,2 wk flu hosp rate change,05,category,large_decrease,0.10536621930426195
21,2022-11-21,2 wk flu hosp rate change,05,category,decrease,0.2155602168956673
22,2022-11-21,2 wk flu hosp rate change,05,category,stable,0.488204349627838
23,2022-11-21,2 wk flu hosp rate change,05,category,increase,0.11581529155332437
24,2022-11-21,2 wk flu hosp rate change,05,category,large_increase,0.07505392261890842
25,2022-11-21,2 wk flu hosp rate change,06,category,large_decrease,0.0
26,2022-11-21,2 wk flu hosp rate change,06,category,decrease,0.04682085659004069
27,2022-11-21,2 wk flu hosp rate change,06,category,stable,0.46836820317905176
28,2022-11-21,2 wk flu hosp rate change,06,category,increase,0.25261394271112314
29,2022-11-21,2 wk flu hosp rate change,06,category,large_increase,0.2321969975197844
30,2022-11-21,2 wk flu hosp rate change,08,category,large_decrease,0.0
31,2022-11-21,2 wk flu hosp rate change,08,category,decrease,0.06800232922129175
32,2022-11-21,2 wk flu hosp rate change,08,category,stable,0.4866530931919126
33,2022-11-21,2 wk flu hosp rate change,08,category,increase,0.17056658372577505
34,2022-11-21,2 wk flu hosp rate change,08,category,large_increase,0.27477799386102064
35,2022-11-21,2 wk flu hosp rate change,09,category,large_decrease,0.0
36,2022-11-21,2 wk flu hosp rate change,09,category,decrease,0.0
37,2022-11-21,2 wk flu hosp rate change,09,category,stable,0.7998102196740827
38,2022-11-21,2 wk flu hosp rate change,09,category,increase,0.18140749777474507
39,2022-11-21,2 wk flu hosp rate change,09,category,large_increase,0.018782282551172202
40,2022-11-21,2 wk flu hosp rate change,10,category,large_decrease,0.02501764408442555
41,2022-11-21,2 wk flu hosp rate change,10,category,decrease,0.25883604803137195
42,2022-11-21,2 wk flu hosp rate change,10,category,stable,0.5719631686835058
43,2022-11-21,2 wk flu hosp rate change,10,category,increase,0.09453024862823023
44,2022-11-21,2 wk flu hosp rate change,10,category,large_increase,0.04965289057246647
45,2022-11-21,2 wk flu hosp rate change,11,category,large_decrease,0.0
46,2022-11-21,2 wk flu hosp rate change,11,category,decrease,0.2580426146432606
47,2022-11-21,2 wk flu hosp rate change,11,category,stable,0.7106126982264475
48,2022-11-21,2 wk flu hosp rate change,11,category,increase,0.031344687130291926
49,2022-11-21,2 wk flu hosp rate change,11,category,large_increase,0.0
50,2022-11-21,2 wk flu hosp rate change,12,category,large_decrease,0.0
51,2022-11-21,2 wk flu hosp rate change,12,category,decrease,0.01010879590509088
52,2022-11-21,2 wk flu hosp rate change,12,category,stable,0.701405401358052
53,2022-11-21,2 wk flu hosp rate change,12,category,increase,0.22564860364219796
54,2022-11-21,2 wk flu hosp rate change,12,category,large_increase,0.06283719909465924
55,2022-11-21,2 wk flu hosp rate change,13,category,large_decrease,0.0
56,2022-11-21,2 wk flu hosp rate change,13,category,decrease,0.16084808654062016
57,2022-11-21,2 wk flu hosp rate change,13,category,stable,0.7817916389343709
58,2022-11-21,2 wk flu hosp rate change,13,category,increase,0.057360274525009025
59,2022-11-21,2 wk flu hosp rate change,13,category,large_increase,0.0
60,2022-11-21,2 wk flu hosp rate change,15,category,large_decrease,0.0
61,2022-11-21,2 wk flu hosp rate change,15,category,decrease,0.0
62,2022-11-21,2 wk flu hosp rate change,15,category,stable,0.9773785969749863
63,2022-11-21,2 wk flu hosp rate change,15,category,increase,0.022621403025013698
64,2022-11-21,2 wk flu hosp rate change,15,category,large_increase,0.0
65,2022-11-21,2 wk flu hosp rate change,16,category,large_decrease,0.023012070462278975
